case|opened|scroll_delta|restored|focus_cleared|scroll_height|client_height|columns|clipping|hidden
android-360x800-acc-sorvetes|True|225|True|True|913|913|300px|True|0
android-360x800-acc-picolés|True|215|True|True|1662|1662|None|True|0
android-390x844-acc-sorvetes|True|242|True|True|837|837|330px|True|0
android-390x844-acc-picolés|True|242|True|True|1662|1662|None|True|0
iphone-375x812-acc-sorvetes|True|222|True|True|913|913|315px|True|0
iphone-375x812-acc-picolés|True|222|True|True|1662|1662|None|True|0
iphone-393x852-acc-sorvetes|True|246|True|True|780|780|333px|True|0
iphone-393x852-acc-picolés|True|246|True|True|1148|1148|None|True|0
tablet-768x1024-acc-sorvetes|True|110|True|True|658|658|205.328px 205.328px 205.328px|True|0
tablet-768x1024-acc-picolés|True|231|True|True|780|780|None|True|0
pc-1366x768-acc-sorvetes|True|157|True|True|470|470|222.25px 222.25px 222.25px 222.25px|True|0
pc-1366x768-acc-picolés|True|196|True|True|755|755|None|True|0
