case|opened|scroll_delta|restored|focus_cleared|scroll_height|client_height|columns|clipping|hidden
android-360x800-acc-sorvetes|True|225|True|True|1064|1064|300px|True|0
android-360x800-acc-picolés|True|215|True|True|1802|1802|None|True|0
android-390x844-acc-sorvetes|True|242|True|True|975|975|330px|True|0
android-390x844-acc-picolés|True|242|True|True|1802|1802|None|True|0
iphone-375x812-acc-sorvetes|True|222|True|True|1064|1064|315px|True|0
iphone-375x812-acc-picolés|True|222|True|True|1802|1802|None|True|0
iphone-393x852-acc-sorvetes|True|246|True|True|868|868|333px|True|0
iphone-393x852-acc-picolés|True|246|True|True|1300|1300|None|True|0
tablet-768x1024-acc-sorvetes|True|191|True|True|739|739|205.328px 205.328px 205.328px|True|0
tablet-768x1024-acc-picolés|True|321|True|True|869|869|None|True|0
pc-1366x768-acc-sorvetes|True|196|True|True|511|511|222.25px 222.25px 222.25px 222.25px|True|0
pc-1366x768-acc-picolés|True|196|True|True|844|844|None|True|0
