"SKU";"Categoria";"Produto";"Tamanho";"Preço do site";"Ingredientes ou descrição";"Situação"
"ACA-250-006";"Açaí — 250 ml";"Açaí Natureon + chantilly";"250 ml";"13,00";"";"Ativo"
"ACA-250-002";"Açaí — 250 ml";"Açaí Natureon + Chocoball";"250 ml";"13,00";"";"Ativo"
"ACA-250-005";"Açaí — 250 ml";"Açaí Natureon + granola";"250 ml";"13,00";"";"Ativo"
"ACA-250-001";"Açaí — 250 ml";"Açaí Natureon + leite condensado";"250 ml";"13,00";"";"Ativo"
"ACA-250-003";"Açaí — 250 ml";"Açaí Natureon + leite em pó";"250 ml";"13,00";"";"Ativo"
"ACA-250-007";"Açaí — 250 ml";"Açaí Natureon + marshmallow";"250 ml";"13,00";"";"Ativo"
"ACA-250-004";"Açaí — 250 ml";"Açaí Natureon + Ovomaltine";"250 ml";"13,00";"";"Ativo"
"ACA-300-001";"Açaí — 300 ml";"Açaí Natureon + banana + confete";"300 ml";"15,00";"";"Ativo"
"ACA-300-003";"Açaí — 300 ml";"Açaí Natureon + banana + leite condensado";"300 ml";"15,00";"";"Ativo"
"ACA-300-004";"Açaí — 300 ml";"Açaí Natureon + banana + leite em pó";"300 ml";"15,00";"";"Ativo"
"ACA-300-002";"Açaí — 300 ml";"Açaí Natureon + morango + granola";"300 ml";"15,00";"";"Ativo"
"ACA-300-006";"Açaí — 300 ml";"Açaí Natureon + morango + leite condensado";"300 ml";"15,00";"";"Ativo"
"ACA-300-005";"Açaí — 300 ml";"Açaí Natureon + morango + leite em pó";"300 ml";"15,00";"";"Ativo"
"ACA-400-001";"Açaí — 400 ml";"Açaí Natureon + banana + Nutella";"400 ml";"17,00";"";"Ativo"
"ACA-400-003";"Açaí — 400 ml";"Açaí Natureon + banana + Nutella + leite em pó";"400 ml";"17,00";"";"Ativo"
"ACA-400-005";"Açaí — 400 ml";"Açaí Natureon + kiwi + creme Ninho";"400 ml";"17,00";"";"Ativo"
"ACA-400-002";"Açaí — 400 ml";"Açaí Natureon + morango + Nutella";"400 ml";"17,00";"";"Ativo"
"ACA-400-004";"Açaí — 400 ml";"Açaí Natureon + uva + creme Ninho";"400 ml";"17,00";"";"Ativo"
"ACA-400-010";"Açaí — 400 ml";"Açaí Natureon + banana + creme Ninho + granola";"400 ml";"18,00";"";"Ativo"
"ACA-400-009";"Açaí — 400 ml";"Açaí Natureon + banana + creme Ninho + Nutella";"400 ml";"18,00";"";"Ativo"
"ACA-400-008";"Açaí — 400 ml";"Açaí Natureon + banana + Nutella + confete";"400 ml";"18,00";"";"Ativo"
"ACA-400-012";"Açaí — 400 ml";"Açaí Natureon + kiwi + cereja + creme Ninho + granola";"400 ml";"18,00";"";"Ativo"
"ACA-400-006";"Açaí — 400 ml";"Açaí Natureon + morango + confete + Nutella";"400 ml";"18,00";"";"Ativo"
"ACA-400-007";"Açaí — 400 ml";"Açaí Natureon + morango + Nutella + leite condensado";"400 ml";"18,00";"";"Ativo"
"ACA-400-011";"Açaí — 400 ml";"Açaí Natureon + uva + paçoca + Nutella";"400 ml";"18,00";"";"Ativo"
"ACA-400-013";"Açaí — 400 ml";"Açaí Natureon + abacaxi + banana + morango + Nutella + leite condensado";"400 ml";"19,00";"";"Ativo"
"ACA-400-015";"Açaí — 400 ml";"Açaí Natureon + banana + paçoca + sucrilhos + leite condensado";"400 ml";"19,00";"";"Ativo"
"ACA-400-017";"Açaí — 400 ml";"Açaí Natureon + banana + uva + Ovomaltine + sucrilhos";"400 ml";"19,00";"";"Ativo"
"ACA-400-014";"Açaí — 400 ml";"Açaí Natureon + Chocoball + leite condensado + sucrilhos + morango";"400 ml";"19,00";"";"Ativo"
"ACA-400-016";"Açaí — 400 ml";"Açaí Natureon + morango + granulado + confete + leite condensado";"400 ml";"19,00";"";"Ativo"
"ACA-400-018";"Açaí — 400 ml";"Açaí Natureon + uva + morango + confete + creme Ninho + granola";"400 ml";"19,00";"";"Ativo"
"ACA-400-021";"Açaí — 400 ml";"Açaí Natureon + banana + Ovomaltine + creme de amendoim";"400 ml";"20,00";"";"Ativo"
"ACA-400-019";"Açaí — 400 ml";"Açaí Natureon + banana + uva + leite em pó";"400 ml";"20,00";"";"Ativo"
"ACA-400-020";"Açaí — 400 ml";"Açaí Natureon + morango + Nutella + leite em pó";"400 ml";"20,00";"";"Ativo"
"ACA-500-002";"Açaí — 500 ml";"Açaí Natureon + kiwi + paçoca + Nutella + creme Ninho";"500 ml";"20,00";"";"Ativo"
"ACA-500-001";"Açaí — 500 ml";"Açaí Natureon + morango + banana + Ovomaltine + Nutella + creme Ninho";"500 ml";"20,00";"";"Ativo"
"ACA-500-005";"Açaí — 500 ml";"Açaí Natureon + abacaxi + morango + Nutella + leite em pó + leite condensado";"500 ml";"22,00";"";"Ativo"
"ACA-500-006";"Açaí — 500 ml";"Açaí Natureon + banana + chantilly + creme de pistache + leite condensado";"500 ml";"22,00";"";"Ativo"
"ACA-500-004";"Açaí — 500 ml";"Açaí Natureon + banana + morango + leite em pó + leite condensado";"500 ml";"22,00";"";"Ativo"
"ACA-500-003";"Açaí — 500 ml";"Açaí Natureon + kiwi + banana + Ovomaltine + Nutella + creme Ninho";"500 ml";"22,00";"";"Ativo"
"ACA-500-009";"Açaí — 500 ml";"Açaí Natureon + morango + banana + Nutella + confete + leite condensado";"500 ml";"24,00";"";"Ativo"
"ACA-500-007";"Açaí — 500 ml";"Açaí Natureon + morango + banana + Nutella + creme Ninho + Ovomaltine";"500 ml";"24,00";"";"Ativo"
"ACA-500-010";"Açaí — 500 ml";"Açaí Natureon + morango + banana + Ovomaltine + granola + sucrilhos";"500 ml";"24,00";"";"Ativo"
"ACA-500-008";"Açaí — 500 ml";"Açaí Natureon + uva + banana + creme Ninho + leite em pó";"500 ml";"24,00";"";"Ativo"
"ACA-600-001";"Açaí — 600 ml";"Açaí Natureon + morango + creme Ninho + leite em pó";"600 ml";"22,00";"";"Ativo"
"ACA-600-005";"Açaí — 600 ml";"Açaí Natureon + abacaxi + morango + Nutella + confete + sucrilhos";"600 ml";"24,00";"";"Ativo"
"ACA-600-003";"Açaí — 600 ml";"Açaí Natureon + morango + banana + kiwi + Nutella + Ovomaltine";"600 ml";"24,00";"";"Ativo"
"ACA-600-006";"Açaí — 600 ml";"Açaí Natureon + morango + banana + leite condensado + leite em pó";"600 ml";"24,00";"";"Ativo"
"ACA-600-002";"Açaí — 600 ml";"Açaí Natureon + morango + banana + Nutella + creme Ninho + geleia de morango";"600 ml";"24,00";"";"Ativo"
"ACA-600-007";"Açaí — 600 ml";"Açaí Natureon + morango + banana + Ovomaltine + granola";"600 ml";"24,00";"";"Ativo"
"ACA-600-004";"Açaí — 600 ml";"Açaí Natureon + uva + banana + creme Ninho + leite em pó";"600 ml";"24,00";"";"Ativo"
"ACA-700-005";"Açaí — 700 ml";"Açaí Natureon + banana + uva + Nutella + granulado + confete + leite condensado";"700 ml";"24,00";"";"Ativo"
"ACA-700-007";"Açaí — 700 ml";"Açaí Natureon + banana + uva + creme de amendoim + leite condensado + sucrilhos + leite em pó";"700 ml";"27,00";"";"Ativo"
"ACA-700-006";"Açaí — 700 ml";"Açaí Natureon + banana + uva + Nutella + granola + leite condensado";"700 ml";"27,00";"";"Ativo"
"ACA-700-002";"Açaí — 700 ml";"Açaí Natureon + morango + banana + creme Ninho + Chocoball";"700 ml";"27,00";"";"Ativo"
"ACA-700-003";"Açaí — 700 ml";"Açaí Natureon + morango + uva + Nutella + geleia de morango + leite condensado";"700 ml";"27,00";"";"Ativo"
"ACA-700-004";"Açaí — 700 ml";"Açaí Natureon + morango + uva + Nutella + granola + leite condensado";"700 ml";"27,00";"";"Ativo"
"ACA-700-001";"Açaí — 700 ml";"Açaí Natureon + morango + uva + Nutella + leite em pó + Ovomaltine";"700 ml";"27,00";"";"Ativo"
"ACR-001";"Acréscimos";"Canudinho Wafer";"";"0,25";"";"Ativo"
"ACR-002";"Acréscimos";"Casquinhas";"";"0,25";"";"Ativo"
"ACR-003";"Acréscimos";"Cascão";"";"1,00";"";"Ativo"
"ACR-004";"Acréscimos";"Cestinha Recheada";"";"1,00";"";"Ativo"
"EMB-VIAGEM";"Acréscimos";"Embalagem para viagem";"Por produto";"1,00";"";"Ativo"
"ACR-005";"Acréscimos";"Cobertura 1.3L";"";"40,00";"";"Ativo"
"CAX-5L_2S";"Caixas para encomenda";"Caixa 5 Litros - 2 Sabores";"";"100,00";"";"Ativo"
"CAX-5L_3S";"Caixas para encomenda";"Caixa 5 Litros - 3 Sabores";"";"115,00";"";"Ativo"
"CAX-10L_2S";"Caixas para encomenda";"Caixa 10 Litros - 2 Sabores";"";"150,00";"";"Ativo"
"CAX-10L_3S";"Caixas para encomenda";"Caixa 10 Litros - 3 Sabores";"";"165,00";"";"Ativo"
"ISO-04_";"Isopores para viagem";"Isopore 4 Bolas";"4 Bolas";"25,00";"";"Ativo"
"ISO-07_";"Isopores para viagem";"Isopore 7 Bolas";"7 Bolas";"30,00";"";"Ativo"
"ISO-09_";"Isopores para viagem";"Isopore 9 Bolas";"9 Bolas";"40,00";"";"Ativo"
"ISO-12_";"Isopores para viagem";"Isopore 12 Bolas";"12 Bolas";"50,00";"";"Ativo"
"ACA-MSK-001";"Milk-shake de Açaí";"300 ml — Açaí Natureon + Nutella + chantilly + paçoca";"Milk-shake";"23,00";"";"Ativo"
"ACA-MSK-002";"Milk-shake de Açaí";"360 ml — Açaí Natureon + creme de amendoim + chantilly + paçoca";"Milk-shake";"23,00";"";"Ativo"
"ACA-MSK-004";"Milk-shake de Açaí";"600 ml — Açaí Natureon + creme de amendoim + chantilly + paçoca";"Milk-shake";"27,00";"";"Ativo"
"ACA-MSK-003";"Milk-shake de Açaí";"600 ml — Açaí Natureon + Nutella + chantilly + Ovomaltine";"Milk-shake";"27,00";"";"Ativo"
"MLK-TRD-300";"Milkshake";"Milkshake tradicional";"300ml";"17,00";"";"Ativo"
"MLK-TOP-360";"Milkshake";"Milkshake top";"360ml";"20,00";"";"Ativo"
"MLK-TRD-400";"Milkshake";"Milkshake tradicional";"400ml";"20,00";"";"Ativo"
"MLK-TRD-500";"Milkshake";"Milkshake tradicional";"500ml";"22,00";"";"Ativo"
"MLK-TOP-600";"Milkshake";"Milkshake top";"600ml";"24,00";"";"Ativo"
"MLK-TRD-750";"Milkshake";"Milkshake tradicional";"750ml";"28,00";"";"Ativo"
"PIC-001";"Picolés";"Abacaxi";"1 unidade";"2,50";"";"Ativo"
"PIC-023";"Picolés";"Amendoim";"1 unidade";"2,50";"";"Ativo"
"PCT-FRT";"Picolés";"Base Água / Frutas";"1 unidade";"2,50";"";"Ativo"
"PIC-002";"Picolés";"Caju";"1 unidade";"2,50";"";"Ativo"
"PIC-021";"Picolés";"Coco Queimado";"1 unidade";"2,50";"";"Ativo"
"PIC-003";"Picolés";"Goiaba";"1 unidade";"2,50";"";"Ativo"
"PIC-004";"Picolés";"Groselha";"1 unidade";"2,50";"";"Ativo"
"PIC-005";"Picolés";"Limão";"1 unidade";"2,50";"";"Ativo"
"PIC-006";"Picolés";"Melância";"1 unidade";"2,50";"";"Ativo"
"PIC-022";"Picolés";"Milho Verde";"1 unidade";"2,50";"";"Ativo"
"PIC-024";"Picolés";"Pistache";"1 unidade";"2,50";"";"Ativo"
"PCT-LTS";"Picolés";"Sem Recheio";"1 unidade";"2,50";"";"Ativo"
"PIC-008";"Picolés";"Tamarindo";"1 unidade";"2,50";"";"Ativo"
"PIC-007";"Picolés";"Uva";"1 unidade";"2,50";"";"Ativo"
"PIC-009";"Picolés";"Açaí";"1 unidade";"3,00";"";"Ativo"
"PIC-014";"Picolés";"Amarena";"1 unidade";"3,00";"";"Ativo"
"PIC-010";"Picolés";"Blue Ice";"1 unidade";"3,00";"";"Ativo"
"PIC-011";"Picolés";"Caraxi";"1 unidade";"3,00";"";"Ativo"
"PIC-013";"Picolés";"Chocolate";"1 unidade";"3,00";"";"Ativo"
"PIC-012";"Picolés";"Coco Branco";"1 unidade";"3,00";"";"Ativo"
"PIC-015";"Picolés";"Leite Condensado";"1 unidade";"3,00";"";"Ativo"
"PIC-016";"Picolés";"Mamão Papaia";"1 unidade";"3,00";"";"Ativo"
"PIC-017";"Picolés";"Maracujá";"1 unidade";"3,00";"";"Ativo"
"PIC-019";"Picolés";"Menta com Chocolate";"1 unidade";"3,00";"";"Ativo"
"PIC-018";"Picolés";"Morango";"1 unidade";"3,00";"";"Ativo"
"PIC-020";"Picolés";"Nata com Goiaba";"1 unidade";"3,00";"";"Ativo"
"PCT-RCH";"Picolés";"Recheados";"1 unidade";"3,00";"";"Ativo"
"PCT-ESP";"Picolés";"Especiais";"1 unidade";"4,00";"";"Ativo"
"PIC-025";"Picolés";"Leite Ninho";"1 unidade";"4,00";"";"Ativo"
"PIC-026";"Picolés";"Ovomaltine";"1 unidade";"4,00";"";"Ativo"
"PIC-027";"Picolés";"Bombom";"1 unidade";"8,00";"";"Ativo"
"PIC-033";"Picolés";"Brigadeiro";"1 unidade";"8,00";"";"Ativo"
"PCT-ESQ";"Picolés";"Esquimós";"1 unidade";"8,00";"";"Ativo"
"PIC-030";"Picolés";"Leite Ninho";"1 unidade";"8,00";"";"Ativo"
"PIC-032";"Picolés";"Morango";"1 unidade";"8,00";"";"Ativo"
"PIC-031";"Picolés";"Nata";"1 unidade";"8,00";"";"Ativo"
"PIC-028";"Picolés";"Nutella";"1 unidade";"8,00";"";"Ativo"
"PIC-029";"Picolés";"Ovomaltine";"1 unidade";"8,00";"";"Ativo"
"PIC-034";"Picolés";"Prestígio";"1 unidade";"8,00";"";"Ativo"
"MAS-001";"Sabores de massa";"Abacaxi ao Vinho";"";"0,00";"";"Ativo"
"MAS-002";"Sabores de massa";"Abacaxi Suíço";"";"0,00";"";"Ativo"
"MAS-003";"Sabores de massa";"Amarena";"";"0,00";"";"Ativo"
"MAS-004";"Sabores de massa";"Ameixa";"";"0,00";"";"Ativo"
"MAS-005";"Sabores de massa";"Banana com Nutella";"";"0,00";"";"Ativo"
"MAS-006";"Sabores de massa";"Bem Casado";"";"0,00";"";"Ativo"
"MAS-007";"Sabores de massa";"Bis e Trufa";"";"0,00";"";"Ativo"
"MAS-008";"Sabores de massa";"Blue Ice";"";"0,00";"";"Ativo"
"MAS-009";"Sabores de massa";"Cereja Trufada";"";"0,00";"";"Ativo"
"MAS-010";"Sabores de massa";"Cheesecake";"";"0,00";"";"Ativo"
"MAS-011";"Sabores de massa";"Chocolate Belga";"";"0,00";"";"Ativo"
"MAS-012";"Sabores de massa";"Chocolate com Café";"";"0,00";"";"Ativo"
"MAS-013";"Sabores de massa";"Coco Queimado";"";"0,00";"";"Ativo"
"MAS-014";"Sabores de massa";"Creme Paris";"";"0,00";"";"Ativo"
"MAS-015";"Sabores de massa";"Croquer";"";"0,00";"";"Ativo"
"MAS-016";"Sabores de massa";"Doce de Leite";"";"0,00";"";"Ativo"
"MAS-017";"Sabores de massa";"Ferrero Rocher";"";"0,00";"";"Ativo"
"MAS-018";"Sabores de massa";"Flocos";"";"0,00";"";"Ativo"
"MAS-019";"Sabores de massa";"Kinder Ovo";"";"0,00";"";"Ativo"
"MAS-020";"Sabores de massa";"Leite Condensado";"";"0,00";"";"Ativo"
"MAS-021";"Sabores de massa";"Leite Ninho";"";"0,00";"";"Ativo"
"MAS-023";"Sabores de massa";"Leite Ninho com Oreo";"";"0,00";"";"Ativo"
"MAS-022";"Sabores de massa";"Leite Ninho Folheado";"";"0,00";"";"Ativo"
"MAS-024";"Sabores de massa";"Leite Ninho Trufado";"";"0,00";"";"Ativo"
"MAS-025";"Sabores de massa";"Limão";"";"0,00";"";"Ativo"
"MAS-026";"Sabores de massa";"Limão Suíço";"";"0,00";"";"Ativo"
"MAS-027";"Sabores de massa";"Menta com Chocolate";"";"0,00";"";"Ativo"
"MAS-028";"Sabores de massa";"Milho Verde";"";"0,00";"";"Ativo"
"MAS-029";"Sabores de massa";"Morango Trufado";"";"0,00";"";"Ativo"
"MAS-030";"Sabores de massa";"Mousse de Maracujá";"";"0,00";"";"Ativo"
"MAS-031";"Sabores de massa";"Mousse de Uva";"";"0,00";"";"Ativo"
"MAS-032";"Sabores de massa";"Nozes";"";"0,00";"";"Ativo"
"MAS-033";"Sabores de massa";"Nutella";"";"0,00";"";"Ativo"
"MAS-034";"Sabores de massa";"Ovomaltine";"";"0,00";"";"Ativo"
"MAS-035";"Sabores de massa";"Passas ao Rum";"";"0,00";"";"Ativo"
"MAS-036";"Sabores de massa";"Pistache";"";"0,00";"";"Ativo"
"MAS-037";"Sabores de massa";"Prestígio";"";"0,00";"";"Ativo"
"MAS-038";"Sabores de massa";"Sensação";"";"0,00";"";"Ativo"
"SOB-009";"Sobremesas";"Sorvete Diet (1 bola)";"";"10,00";"";"Ativo"
"SOB-003";"Sobremesas";"Sorvete com Bolo no Copo 300ml";"";"15,00";"2 sabores de sorvete; creme; bolo";"Ativo"
"SOB-007";"Sobremesas";"Brownie com Sorvete (1 bola)";"";"20,00";"";"Ativo"
"SOB-005";"Sobremesas";"Petit Gâteau (1 bola)";"";"20,00";"";"Ativo"
"SOB-008";"Sobremesas";"Brownie com Sorvete (2 bolas)";"";"25,00";"";"Ativo"
"SOB-002";"Sobremesas";"Fondue";"";"25,00";"2 frutas; 2 cremes; 1 guloseima";"Ativo"
"SOB-006";"Sobremesas";"Petit Gâteau (2 bolas)";"";"25,00";"bolo de chocolate com recheio quente; 2 sabores de sorvete; cobertura";"Ativo"
"SOB-004";"Sobremesas";"Sorvete com Bolo no Copo 600ml";"";"25,00";"2 sabores de sorvete; creme; bolo";"Ativo"
"SOB-001";"Sobremesas";"Torta de Sorvete";"";"100,00";"3 sabores de sorvete; creme; guloseimas; frutas; cobertura";"Ativo"
"SVM-CC-01";"Sorvetes de massa";"Casquinha/copo";"1 Bola";"8,00";"";"Ativo"
"SVM-CC-02";"Sorvetes de massa";"Casquinha/copo";"2 Bolas";"10,00";"";"Ativo"
"SVM-CR-01";"Sorvetes de massa";"Copo recheado";"1 Bola";"10,00";"";"Ativo"
"SVM-CS-01";"Sorvetes de massa";"Cascão";"1 Bola";"12,00";"";"Ativo"
"SVM-CC-03";"Sorvetes de massa";"Casquinha/copo";"3 Bolas";"12,00";"";"Ativo"
"SVM-CR-02";"Sorvetes de massa";"Copo recheado";"2 Bolas";"12,00";"";"Ativo"
"SVM-CT-01";"Sorvetes de massa";"Cestinha";"1 Bola";"14,00";"";"Ativo"
"SVM-CR-03";"Sorvetes de massa";"Copo recheado";"3 Bolas";"15,00";"";"Ativo"
"SVM-CS-02";"Sorvetes de massa";"Cascão";"2 Bolas";"16,00";"";"Ativo"
"SVM-CT-02";"Sorvetes de massa";"Cestinha";"2 Bolas";"18,00";"";"Ativo"
"SVM-CT-03";"Sorvetes de massa";"Cestinha";"3 Bolas";"20,00";"";"Ativo"
"ACA-TCG-001";"Taças Gourmet — 500 ml";"Taça 1: Açaí Natureon + morango + banana + Ovomaltine + Nutella + leite em pó";"Taça Gourmet 500 ml";"30,00";"";"Ativo"
"ACA-TCG-002";"Taças Gourmet — 500 ml";"Taça 2: Açaí Natureon + morango + banana + creme de amendoim + leite em pó";"Taça Gourmet 500 ml";"30,00";"";"Ativo"
"ACA-TCG-003";"Taças Gourmet — 500 ml";"Taça 3: Açaí Natureon + uva + morango + banana + granola + leite condensado + leite em pó";"Taça Gourmet 500 ml";"30,00";"";"Ativo"
"ACA-TCG-004";"Taças Gourmet — 500 ml";"Taça 4: Açaí Natureon + morango + banana + granola + Nutella + leite em pó";"Taça Gourmet 500 ml";"30,00";"";"Ativo"
"TAC-PRM-007";"Taças premium";"Taça Suja – Unicórnio";"";"28,00";"3 sabores de sorvete; granulado colorido; chantilly; marshmallow; biju; creme";"Ativo"
"TAC-PRM-002";"Taças premium";"Taça Suja – Bis com Negresco";"";"42,00";"3 sabores de sorvete; Nutella; Ovomaltine; chantilly; Bis; Negresco";"Ativo"
"TAC-PRM-004";"Taças premium";"Taça Suja – Kit Kat";"";"42,00";"2 sabores de sorvete; creme; Kit Kat; Chocoboll; biju; morango; chantilly";"Ativo"
"TAC-PRM-003";"Taças premium";"Taça Suja – Lacta com Leite Ninho";"";"42,00";"2 sabores de sorvete; creme; leite Ninho; chantilly; chocolate Lacta; morango";"Ativo"
"TAC-PRM-005";"Taças premium";"Taça Suja – Morango com Ovomaltine";"";"42,00";"";"Ativo"
"TAC-PRM-001";"Taças premium";"Taça Suja – Prestígio";"";"42,00";"3 sabores de sorvete; creme; coco em flocos; chantilly; biju; prestígio";"Ativo"
"TAC-PRM-006";"Taças premium";"Taça Suja – Sonho de Valsa";"";"45,00";"2 sabores de sorvete; creme; bombons Sonho de Valsa; biju; morango; chantilly";"Ativo"
"TAC-TRD-001";"Taças tradicionais";"Taça Colegial";"";"20,00";"2 sabores de sorvete; cobertura";"Ativo"
"TAC-TRD-002";"Taças tradicionais";"Taça Sundae";"";"23,00";"3 sabores de sorvete; cobertura";"Ativo"
"TAC-TRD-004";"Taças tradicionais";"Taça Universitário";"";"23,00";"3 sabores de sorvete; cobertura";"Ativo"
"TAC-TRD-006";"Taças tradicionais";"Taça Vaca Preta";"";"23,00";"Coca-Cola; 2 sabores de sorvete; cobertura";"Ativo"
"TAC-TRD-003";"Taças tradicionais";"Taça Banana Split";"";"25,00";"banana; 3 sabores de sorvete; cobertura";"Ativo"
"TAC-TRD-005";"Taças tradicionais";"Taça Morango Split";"";"28,00";"morango; 3 sabores de sorvete; cobertura";"Ativo"
"TAC-TRD-007";"Taças tradicionais";"Taça Sundae com Nutella";"";"28,00";"Nutella; 2 sabores de sorvete; cobertura";"Ativo"
"TAC-TRD-008";"Taças tradicionais";"Taça Ula-Ula";"";"48,00";"1/2 abacaxi; 3 sabores de sorvete; cobertura";"Ativo"
"TOR-001";"Tortas por encomenda";"Torta de Sorvete";"";"100,00";"3 sabores de sorvete; creme; guloseimas; frutas; cobertura";"Ativo"
