sku_anterior,sku_novo
PIC-001,PIC-AG-001
PIC-002,PIC-AG-002
PIC-003,PIC-AG-003
PIC-004,PIC-AG-004
PIC-005,PIC-AG-005
PIC-006,PIC-AG-006
PIC-007,PIC-AG-007
PIC-008,PIC-AG-008
PIC-021,PIC-CR-001
PIC-022,PIC-CR-002
PIC-023,PIC-CR-003
PIC-024,PIC-CR-004
PIC-009,PIC-REC-001
PIC-010,PIC-REC-002
PIC-011,PIC-REC-003
PIC-012,PIC-REC-004
PIC-013,PIC-REC-005
PIC-014,PIC-REC-006
PIC-015,PIC-REC-007
PIC-016,PIC-REC-008
PIC-017,PIC-REC-009
PIC-018,PIC-REC-010
PIC-019,PIC-REC-011
PIC-020,PIC-REC-012
PIC-025,PIC-ESP-001
PIC-026,PIC-ESP-002
PIC-027,PIC-PREM-ESKIMO-001
PIC-028,PIC-PREM-ESKIMO-002
PIC-029,PIC-PREM-ESKIMO-003
PIC-030,PIC-PREM-ESKIMO-004
PIC-031,PIC-PREM-ESKIMO-005
PIC-032,PIC-PREM-ESKIMO-006
PIC-033,PIC-PREM-ESKIMO-007
PIC-034,PIC-PREM-ESKIMO-008
